Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
STT,378219,USD,2021,Q1,2021-04-23,2021-04-23,3035000000.0,15265000000.0,-5114000000.0,,0.24172,0.18692,0.08662,0.006840000000000001,-2.36103,,11.67287,0.04817,6.15141,6.07522,32.90977,71.01388,-14.5237,2.4651099999999997,
SYF,493399,USD,2021,Q1,2021-04-27,2021-04-27,3112000000.0,15160000000.0,,,0.24049,0.18243,0.1541,0.02161,,,6.1325199999999995,0.15816,3.54866,3.53519,19.45168,21.77005,,0.95099,
TCBI,734517,USD,2021,Q1,2021-04-22,2021-04-22,306469000.0,3180555000.0,-9631957000.0,,0.20751999999999998,0.13652999999999998,0.04552,0.00359,-66.97091,,11.67753,0.07941000000000001,2.84994,2.83498,20.873929999999998,62.60708,-190.86316000000002,0.21977,
TFSL,360767,USD,2021,Q1,2021-02-09,2021-02-09,133782000.0,142248000.0,146594000.0,,0.33018000000000003,0.27595,0.04987,0.0056700000000000006,1.77309,,7.7903,0.00976,0.29953,0.29757,1.08546,6.00622,0.5311,0.20348,
TSC,988504,USD,2020,Q4,2021-02-25,2021-02-25,56855000.0,0.0,,,0.26976999999999995,0.19145,0.049339999999999995,0.0037799999999999995,,,12.07123,0.0,1.32169,1.30003,6.90365,20.51833,,0.27767,
UMBF,256663,USD,2020,Q4,2021-03-01,2021-03-01,401693000.0,2585092000.0,233126000.0,,0.26242,0.22185,0.09496,0.00865,0.8137,,9.98047,0.07803,5.95171,5.92635,26.82705,62.67316999999999,4.842890000000001,1.25226,
USB,378231,USD,2020,Q4,2021-02-23,2021-02-23,6578000000.0,53063000000.0,,,0.26053000000000004,0.19896,0.08601,0.00834,,,9.31,0.0958,3.06229,3.06026,15.39165,31.220679999999998,,1.88999,
WAL,345773,USD,2020,Q4,2021-02-25,2021-02-25,643900000.0,569700000.0,713200000.0,,0.50174,0.40931,0.14841,0.013890000000000001,1.40782,,9.681410000000001,0.015619999999999998,5.05589,5.0408,12.3523,34.06687,7.1177600000000005,-0.25522,
WFC,58953,USD,2020,Q4,2021-02-23,2021-02-23,10816000000.0,271949000000.0,-146065000000.0,,0.02875,0.02364,0.0092,0.0008699999999999999,-85.41813,,9.51615,0.13909000000000002,0.41525,0.41362,17.566779999999998,39.76469,-35.46989,1.4915,
WSBC,739365,USD,2020,Q4,2021-02-26,2021-02-26,,983244000.0,,,0.25475,0.19649,0.04331,0.00727,,,4.95835,0.059860000000000003,1.77518,1.77387,9.034460000000001,38.83768,,1.30681,
ZION,378250,USD,2020,Q4,2021-02-25,2021-02-25,758000000.0,2908000000.0,432000000.0,,0.24086,0.181,0.06404,0.0062,0.85545,,9.33211,0.03569,3.0842099999999997,3.04928,17.03952,44.70584,2.6383799999999997,1.5818,
